City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,sioux lookout,50.1001,-91.917,15.87,57,40,16.11,CA,1679164333
161,mindelo,16.8901,-24.9804,76.55,61,20,21.85,CV,1679164333
162,faya,18.3851,42.4509,60.91,60,13,5.35,SA,1679164334
163,inhambane,-23.865,35.3833,78.78,83,20,8.52,MZ,1679164334
164,beringovskiy,63.05,179.3167,19.6,95,96,10.74,RU,1679164336
165,igrim,63.1906,64.4162,15.53,86,13,8.88,RU,1679164338
166,dumas,35.8656,-101.9732,42.62,26,40,9.22,US,1679164338
167,bukachacha,52.9833,116.9167,12.24,96,41,2.17,RU,1679164339
168,komsomolets,53.7453,62.0708,26.17,81,100,13.98,KZ,1679164340
169,pitimbu,-7.4706,-34.8086,77.59,67,96,9.89,BR,1679164341
170,manaskent,42.7275,47.6785,49.42,87,40,4.47,RU,1679164341
171,payo,-3.7508,103.6372,72.61,98,100,0.69,ID,1679164343
172,kruisfontein,-34.0033,24.7314,67.89,90,74,4.38,ZA,1679164343
173,kavieng,-2.5744,150.7967,80.78,78,19,6.91,PG,1679164345
174,rabo de peixe,37.8,-25.5833,62.11,82,75,12.66,PT,1679164347
175,port blair,11.6667,92.75,79.52,76,97,5.99,IN,1679164348
176,karratha,-20.7377,116.8463,89.2,27,0,8.84,AU,1679164348
177,husavik,66.0449,-17.3389,28.2,95,100,24.96,IS,1679164349
178,lermontovka,47.1453,134.3383,17.4,95,25,3.51,RU,1679164352
179,chunskiy,56.0815,99.6342,18.23,99,45,3.38,RU,1679164353
180,lipari,38.4674,14.954,56.21,56,10,1.88,IT,1679164354
181,riyadh,24.6877,46.7219,69.94,43,99,10.74,SA,1679164148
182,phangnga,8.4509,98.5298,80.64,85,99,4.29,TH,1679164355
183,clarksburg,39.2807,-80.3445,45.05,39,100,21.85,US,1679164153
184,kenai,60.5544,-151.2583,30.15,73,100,17.27,US,1679164357
185,amahai,-3.3333,128.9167,78.03,84,100,3.0,ID,1679164359
186,fort nelson,58.8053,-122.7002,35.94,49,0,3.0,CA,1679164359
187,saint-pierre,-21.3393,55.4781,80.28,78,75,2.3,RE,1679164360
188,zharkent,44.1628,80.0,32.25,44,100,16.22,KZ,1679164360
189,ust-ilimsk,58.0006,102.6619,32.9,96,100,10.51,RU,1679164138
190,severo-kurilsk,50.6789,156.125,26.17,84,56,9.73,RU,1679164364
191,bengkulu,-3.8004,102.2655,75.56,91,100,5.19,ID,1679164365
192,tweed,44.4751,-77.3162,38.23,75,22,14.94,CA,1679164366
193,camacha,33.0833,-16.3333,62.02,68,40,10.36,PT,1679164366
194,nalut,30.3333,10.85,67.59,22,6,13.62,LY,1679164372
195,te anau,-45.4167,167.7167,54.27,87,94,3.56,NZ,1679164372
196,dwarka,22.2394,68.9678,76.32,80,0,12.77,IN,1679164374
197,chokurdakh,70.6333,147.9167,-6.99,87,100,11.95,RU,1679164374
198,manicore,-5.8092,-61.3003,87.06,57,100,1.16,BR,1679164375
199,turkistan,43.0,68.0,42.4,25,0,28.05,KZ,1679164375
200,port hardy,50.6996,-127.4199,46.58,66,40,20.71,CA,1679164376
201,mayo,38.8876,-76.5119,53.11,32,0,13.0,US,1679164377
202,weston,26.1004,-80.3998,88.02,59,8,10.0,US,1679164378
203,norman wells,65.282,-126.8329,-2.16,65,20,0.0,CA,1679164378
204,margate,51.3813,1.3862,50.88,82,15,1.99,GB,1679164380
205,gerash,27.6652,54.1371,64.54,23,0,4.61,IR,1679164381
206,yulara,-25.2406,130.9889,81.01,21,99,8.05,AU,1679164381
207,pevek,69.7008,170.3133,20.21,78,100,20.45,RU,1679164382
208,coquimbo,-29.9533,-71.3436,71.33,68,20,13.8,CL,1679164305
209,nador,35.174,-2.9287,64.47,63,0,10.36,MA,1679164384
210,noumea,-22.2763,166.4572,81.0,99,39,11.99,NC,1679164316
211,aklavik,68.2191,-135.0107,3.2,66,75,9.22,CA,1679164385
212,kattivakkam,13.2167,80.3167,83.07,85,98,9.8,IN,1679164386
213,kawalu,-7.3817,108.2082,72.84,95,100,1.9,ID,1679164387
214,eyl,7.9803,49.8164,80.24,81,63,10.42,SO,1679164387
215,taltal,-25.4,-70.4833,73.36,71,27,8.32,CL,1679164388
216,alekseyevsk,57.8406,108.3492,33.66,98,100,12.46,RU,1679164388
217,kurumkan,54.3,110.3,18.48,88,100,4.61,RU,1679164389
218,sechura,-5.5569,-80.8222,85.66,58,100,8.39,PE,1679164389
219,chicama,-7.8447,-79.1469,82.94,61,52,9.82,PE,1679164390
220,bilibino,68.0546,166.4372,5.99,97,100,4.09,RU,1679164392
221,cap malheureux,-19.9842,57.6142,77.47,80,100,3.0,MU,1679164393
222,shelburne,44.0787,-80.2041,26.91,74,100,19.15,CA,1679164393
223,pauini,-7.7136,-66.9764,79.43,83,100,2.82,BR,1679164394
224,havre-saint-pierre,50.2334,-63.5986,32.36,93,100,9.22,CA,1679164396
